"Sale_Price","Gr_Liv_Area","Mas_Vnr_Area","Age_Remodel","Bedroom_AbvGr","Total_Bsmt_SF","Garage_Cars","Full_Bath","Fireplaces","Bldg_Type"
215000,1656,112,50,3,1080,2,1,2,"OneFam"
105000,896,0,49,2,882,1,1,0,"OneFam"
172000,1329,108,52,3,1329,1,1,0,"OneFam"
244000,2110,0,42,3,2110,2,2,2,"OneFam"
189900,1629,0,12,3,928,2,2,1,"OneFam"
195500,1604,20,12,3,926,2,2,1,"OneFam"
213500,1338,0,9,2,1338,2,2,0,"TwnhsE"
191500,1280,0,18,2,1280,2,2,0,"TwnhsE"
236500,1616,0,14,2,1595,2,2,1,"TwnhsE"
189000,1804,0,11,3,994,2,2,1,"OneFam"
175900,1655,0,16,3,763,2,2,1,"OneFam"
185000,1187,0,3,3,1168,2,2,0,"OneFam"
180400,1465,0,12,3,789,2,2,1,"OneFam"
171500,1341,0,20,2,1300,2,1,1,"OneFam"
212000,1502,0,25,1,1488,2,1,0,"TwnhsE"
538000,3279,603,7,4,1650,3,3,1,"OneFam"
164000,1752,0,5,4,559,2,2,0,"OneFam"
394432,1856,350,0,1,1856,3,1,1,"OneFam"
141000,864,0,59,2,864,2,1,0,"OneFam"
210000,2073,119,22,3,1542,2,2,2,"OneFam"
190000,1844,480,33,3,1844,2,2,1,"OneFam"
170000,1173,81,36,3,1053,2,2,2,"OneFam"
216000,1674,0,10,3,814,2,2,0,"OneFam"
149000,1004,180,40,2,1004,2,1,1,"OneFam"
149900,1078,0,2,3,1078,2,1,1,"OneFam"
142000,1056,0,42,3,1056,1,1,1,"OneFam"
126000,882,0,40,2,882,2,1,0,"OneFam"
115000,864,0,39,3,864,0,1,1,"OneFam"
184000,1337,0,11,2,1405,2,2,1,"TwnhsE"
96000,987,504,39,2,483,1,1,0,"Twnhs"
105500,1092,492,39,3,525,1,1,0,"Twnhs"
88000,1092,381,39,3,525,1,1,0,"Twnhs"
127500,1069,0,33,2,1069,2,2,1,"TwnhsE"
149900,1456,0,35,3,855,2,2,1,"Twnhs"
120000,836,0,35,2,836,1,1,0,"Twnhs"
146000,1456,0,32,3,855,2,2,1,"Twnhs"
376162,2334,162,0,3,1590,3,2,1,"OneFam"
306000,1704,200,2,3,1704,3,2,1,"OneFam"
395192,1940,450,0,3,1930,3,2,1,"OneFam"
290941,1544,256,0,3,1544,3,2,0,"OneFam"
220000,1541,226,5,3,1541,2,2,1,"OneFam"
